grill,private entrance,free parking,review_scores_location,resort access,review_scores_rating,bedrooms,beds,pool,host_acceptance_rate,reviews_per_month,minimum_maximum_nights,minimum_minimum_nights,bathrooms,neighbourhood_cleansed_num,accommodates,hot tub,fireplace,price,id,host_is_superhost,prop_Entire condo,prop_Entire guest suite,prop_Entire guesthouse,prop_Entire home,prop_Entire rental unit,prop_Entire townhouse,prop_Hotel,prop_Private room,room_Entire home/apt,room_Private room
1,1,1,4.9,1,4.87,3,10,0,82,1.66,1125,1,2,19,12,1,0,711,2824336,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.89,0,4.91,1,2,0,100,4.79,1125,2,1,6,2,0,0,113,2906844,1,0,0,1,0,0,0,0,0,1,0
1,0,1,4.89,0,4.89,4,8,1,94,0.32,1125,3,3,15,12,1,1,694,2908364,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.57,0,4.93,2,4,0,99,0.29,45,28,2,20,4,0,0,214,2909345,0,0,0,0,1,0,0,0,0,1,0
1,1,0,4.96,0,4.8,3,4,0,100,7.45,1125,1,1.5,17,9,0,0,247,2950152,1,0,0,0,1,0,0,0,0,1,0
0,1,0,4.95,0,4.78,1,1,0,99,0.21,90,30,1,34,1,0,0,150,3005865,0,0,0,0,0,0,0,0,1,0,1
1,1,1,4.95,0,4.93,4,5,0,100,2.28,365,2,4,17,12,0,0,387,3021231,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.82,0,4.78,1,1,0,100,3.84,1125,2,1,15,3,0,0,75,3043332,1,0,1,0,0,0,0,0,0,1,0
1,0,1,4.95,0,5,4,5,0,97,0.21,1125,2,3.5,18,9,0,1,290,3052313,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.53,0,4.77,4,11,0,100,1.24,1125,1,3,5,12,1,2,586,3107569,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.78,0,4.67,1,1,0,98,0.09,1125,31,1,12,5,0,0,40,3116713,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.87,0,4.94,1,1,0,100,9.44,1125,1,1,6,2,0,0,111,3121821,1,1,0,0,0,0,0,0,0,1,0
1,1,1,4.84,0,4.87,4,4,0,96,1.36,1125,2,2.5,19,8,0,0,547,3123909,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.93,0,4.93,3,3,0,100,0.38,7,1,3,17,6,0,0,525,3158038,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.85,0,4.95,4,5,0,99,0.59,1125,1,2,6,10,0,0,224,3275310,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.96,0,4.76,1,1,0,95,1.98,1125,1,1,18,2,0,0,137,3288576,0,0,0,1,0,0,0,0,0,1,0
1,1,0,4.94,0,4.97,1,2,1,100,2.17,7,2,1,16,3,0,0,148,3379848,1,0,1,0,0,0,0,0,0,1,0
0,1,1,4.71,0,4.8,1,5,1,99,4.22,1125,1,1,19,6,0,1,130,3398939,1,1,0,0,0,0,0,0,0,1,0
1,0,1,4.55,0,4.96,3,3,0,97,0.73,1125,2,2.5,5,8,0,2,450,3464176,1,0,0,0,1,0,0,0,0,1,0
0,0,0,4.72,0,4.51,1,1,0,100,7.22,21,1,1,19,4,0,1,91,3571432,0,0,0,0,0,1,0,0,0,1,0
0,0,1,4.88,0,4.73,2,2,0,99,0.93,1125,30,2,6,4,0,0,200,3578360,0,0,0,0,1,0,0,0,0,1,0
0,1,0,4.85,0,4.85,1,1,0,100,0.76,1125,30,1,24,1,0,0,70,3615228,1,0,1,0,0,0,0,0,0,1,0
0,1,1,4.94,0,4.93,1,3,0,92,1.74,1125,1,1,25,4,0,0,143,3648549,1,0,0,0,0,1,0,0,0,1,0
1,1,1,4.97,0,4.93,3,5,0,99,2.32,13,2,3,17,10,0,1,423,3686152,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.82,0,4.75,1,4,0,100,5.3,1125,1,1,19,6,0,0,234,3694888,0,0,0,0,0,1,0,0,0,1,0
0,1,1,4.92,0,4.97,2,3,0,99,3.33,1125,3,2,6,6,0,0,221,3696753,1,1,0,0,0,0,0,0,0,1,0
0,0,0,4.91,0,4.76,1,3,0,100,5.81,1125,1,1,24,3,0,0,120,3703925,0,0,0,1,0,0,0,0,0,1,0
0,0,1,4.91,0,4.91,2,2,0,99,1.46,1125,2,1,6,4,0,0,60,3704256,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.56,0,4.88,2,3,0,100,6.77,1125,1,2,5,6,0,1,176,3710914,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.88,0,4.93,2,1,0,93,3.13,1125,3,1,6,2,0,0,159,3742359,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.92,0,4.95,1,1,0,100,3.13,1125,1,1,6,2,0,0,119,3760928,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.79,0,4.71,3,3,0,89,0.5,1125,3,1,23,6,0,0,232,3789558,0,0,0,0,0,1,0,0,0,1,0
1,1,1,4.87,0,4.97,4,5,0,99,2.39,1125,2,2,19,10,0,0,249,3793659,1,0,0,0,1,0,0,0,0,1,0
0,1,0,4.87,0,4.95,1,1,0,100,3.43,1125,2,1,6,2,0,1,119,3811909,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.75,0,4.88,2,2,0,99,0.08,1125,30,1.5,24,5,0,1,263,3867817,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0,0,2,2,0,99,2.359074492,60,30,2,30,4,0,0,105,3895594,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.94,0,4.98,1,1,0,100,5.26,1125,1,1,6,2,0,0,119,3905148,0,0,0,0,0,0,0,0,1,0,1
0,1,0,4.97,0,4.93,1,2,0,99,1.78,59,1,1,6,4,0,0,161,3907104,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.65,0,4.79,1,2,0,100,3.48,1125,1,1,19,3,0,0,124,3912357,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.8,0,4.96,1,1,1,100,0.23,1125,27,1,17,2,0,0,121,3952633,0,0,0,0,0,1,0,0,0,1,0
0,0,0,4.94,0,4.75,1,1,0,99,0.8,1125,1,1,19,2,1,0,132,4033107,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.71,0,4.62,1,1,1,99,8.38,1125,1,1,17,3,0,0,86,4033674,0,0,0,0,0,1,0,0,0,1,0
0,1,1,4.9,0,4.91,1,1,0,100,1.01,365,30,1,17,2,0,0,90,4047679,1,0,0,0,0,1,0,0,0,1,0
0,0,0,4.26,0,4.68,3,3,0,100,7.3,1125,1,1,17,6,0,0,136,4067086,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.73,0,4.73,1,3,1,99,4.75,1125,1,1,19,4,0,0,187,4100639,1,1,0,0,0,0,0,0,0,1,0
0,0,1,4.79,0,4.81,1,3,1,100,3.67,90,2,1,17,4,0,0,112,4170603,1,1,0,0,0,0,0,0,0,1,0
1,1,1,4.96,0,4.98,1,3,0,99,7.46,1125,1,1,6,4,0,0,151,4178988,0,0,0,1,0,0,0,0,0,1,0
0,0,1,4.89,0,4.81,1,1,0,100,6.27,1125,1,1,6,4,0,0,121,4197716,0,0,0,0,0,1,0,0,0,1,0
0,0,1,4.87,0,4.9,2,2,0,99,0.66,1125,7,2.5,6,4,0,0,325,4227049,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.84,0,4.89,4,4,0,100,3.61,1125,2,3,5,8,0,0,315,4252199,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4,0,4.29,1,1,1,99,0.22,1125,2,1,26,2,0,0,68,4266652,0,0,0,0,0,0,0,0,1,0,1
1,1,1,4.78,0,4.66,3,4,0,100,3.25,1125,2,2,17,10,0,0,211,4275484,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.82,0,4.66,1,1,0,99,1.03,180,30,1,24,2,0,0,45,4278005,0,0,1,0,0,0,0,0,0,1,0
1,1,1,4.98,0,4.98,3,6,0,98,2,1125,2,2.5,18,10,0,0,266,4302855,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.81,0,4.91,3,5,0,98,2.27,1125,2,2,6,10,0,0,252,4303083,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.79,0,4.67,1,1,1,90,4.36,100,1,1,17,2,0,0,93,4351066,0,0,0,0,0,1,0,0,0,1,0
1,1,1,4.73,0,4.78,1,3,1,90,3.63,1125,1,1,19,5,0,1,199,4354794,1,1,0,0,0,0,0,0,0,1,0
0,1,0,4.71,0,4.62,1,2,0,84,1.06,1125,30,1,7,4,0,1,175,4358798,0,0,0,0,0,1,0,0,0,1,0
1,0,1,4.62,0,4.5,3,5,0,84,0.94,1125,3,1,7,8,0,1,225,4365735,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.95,0,4.95,1,2,0,99,2.81,29,2,1,18,4,0,0,99,4404303,0,0,0,0,0,1,0,0,0,1,0
1,1,0,4.98,0,4.98,2,3,0,100,1.89,1125,2,1,24,5,0,0,307,4438136,1,0,0,0,0,1,0,0,0,1,0
0,0,1,4.94,0,4.97,2,3,0,100,4.44,1125,2,1,19,5,0,0,250,4476315,1,0,0,1,0,0,0,0,0,1,0
0,1,1,4.67,0,4.77,1,2,1,100,2.06,1125,1,1,19,4,0,0,155,4485271,1,1,0,0,0,0,0,0,0,1,0
0,1,1,4.92,0,4.88,1,1,1,100,0.24,1125,27,1,17,2,0,0,121,4490882,0,0,0,0,0,1,0,0,0,1,0
1,0,0,4.97,0,4.81,2,3,0,100,3.16,1125,2,2,6,6,0,0,184,4491931,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.82,0,4.87,4,4,0,99,1.29,1125,2,3.5,19,12,0,1,513,4494569,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.83,0,5,2,2,0,98,0.17,1125,3,2,6,8,0,0,250,4511965,1,0,0,0,0,1,0,0,0,1,0
0,1,1,4.95,0,4.87,4,7,0,71,0.31,1125,2,4,25,11,0,1,699,4531756,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.86,0,4.88,1,1,1,97,2.78,1125,1,1,27,2,0,1,92,4559286,0,0,0,0,0,0,0,0,1,0,1
1,1,1,4.9,0,4.93,4,7,0,96,2.95,1125,2,2.5,17,16,0,1,385,4604518,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.95,0,4.94,2,2,0,90,1.46,1125,2,1,24,4,0,0,145,4621726,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.72,0,4.81,1,2,1,99,1.23,30,2,1,19,4,0,0,234,4625481,0,1,0,0,0,0,0,0,0,1,0
1,1,1,4.92,0,4.84,2,3,0,99,0.39,1125,2,1.5,5,6,0,0,245,4688417,0,0,0,0,1,0,0,0,0,1,0
1,1,1,4.81,0,4.74,3,3,1,100,0.67,182,2,2,19,6,0,0,393,4688669,1,1,0,0,0,0,0,0,0,1,0
0,1,1,4.91,0,5,1,1,0,100,2.34,1125,2,1,6,4,0,0,106,4691716,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.92,0,4.94,1,1,0,100,5.56,1125,1,1,6,2,0,0,96,4787052,1,1,0,0,0,0,0,0,0,1,0
0,1,1,4.65,0,4.81,1,2,0,99,0.8,1125,1,1,7,4,0,0,149,4796367,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.2,0,4.4,1,2,0,89,0.05,1125,30,1,23,2,0,0,250,4803359,0,0,0,0,0,1,0,0,0,1,0
0,1,1,4.7,0,4.71,1,3,1,99,5.23,1125,1,1,19,4,0,0,201,4806588,1,1,0,0,0,0,0,0,0,1,0
0,0,1,4.85,0,4.96,3,3,0,89,2.23,31,2,1,5,6,0,0,180,4809998,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.95,0,4.92,1,1,0,100,4.07,1125,1,1,18,4,0,0,117,4810344,1,0,1,0,0,0,0,0,0,1,0
0,1,0,4.95,0,4.91,1,2,0,100,5.39,1125,5,1,25,4,0,0,86,4857128,1,0,1,0,0,0,0,0,0,1,0
0,0,1,4.97,0,4.99,2,3,0,97,0.68,1125,1,1,6,4,0,0,220,4861360,0,0,0,0,1,0,0,0,0,1,0
1,1,1,4.92,0,4.78,2,2,1,99,3.95,1125,2,1,6,4,0,0,158,4917247,0,0,0,0,1,0,0,0,0,1,0
1,1,0,4.86,0,4.76,4,6,0,69,4.76,90,1,1,24,10,0,1,100,4924659,0,0,0,0,1,0,0,0,0,1,0
0,0,0,4.75,0,4.72,1,1,0,89,2.58,1125,30,1,17,1,0,0,38,4935632,1,0,0,0,0,0,0,0,1,0,1
1,1,1,4.85,0,4.86,4,6,0,100,2.47,1125,1,2,17,14,0,1,176,4949787,1,0,0,0,1,0,0,0,0,1,0
0,0,0,4.78,0,4.77,2,2,0,100,6.99,1125,1,1,19,4,0,0,163,4958707,0,1,0,0,0,0,0,0,0,1,0
0,0,1,4.86,0,4.9,1,1,0,98,2.71,1125,15,1,6,2,0,0,99,4963269,1,0,0,0,0,1,0,0,0,1,0
0,0,1,4.93,0,4.86,1,3,1,0,0.72,180,90,1,34,4,0,0,138,5014393,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.79,0,4.92,1,1,0,100,1.24,7,1,1.5,7,2,0,0,115,5039858,0,0,0,0,0,0,0,0,1,0,1
0,1,1,4.79,0,4.97,3,5,0,100,1.85,1125,2,2.5,20,10,0,0,335,5061506,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.94,0,4.96,1,2,0,97,1.7,1125,2,1,15,4,0,0,119,5070014,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.86,0,4.84,1,2,0,99,4.64,1125,2,1,6,2,0,0,78,5093371,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.63,0,4.79,1,1,0,100,11.18,1125,1,1,5,4,0,0,110,5174212,1,0,0,1,0,0,0,0,0,1,0
1,1,1,5,0,5,1,1,0,100,0.17,1125,30,1,7,2,0,0,43,5193246,0,0,0,0,0,1,0,0,0,1,0
1,1,0,4.97,0,4.92,2,3,0,100,1.1,1125,1,1,7,4,0,2,245,5209891,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.93,0,4.71,3,3,0,99,1.36,1125,2,2.5,6,8,0,1,276,5217231,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.97,0,4.99,1,2,0,100,1.83,1125,2,1,17,3,0,1,175,5261347,1,0,0,1,0,0,0,0,0,1,0
0,1,1,4.98,0,4.73,1,1,0,0,1.3,1125,30,1,18,2,0,0,137,5329979,0,0,0,0,0,0,1,0,0,1,0
1,1,1,4.87,0,4.98,4,6,0,99,0.83,1125,30,2,7,12,0,0,300,5334208,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.91,0,4.64,3,3,0,100,0.47,120,3,2,17,7,0,1,550,5338971,0,0,0,0,1,0,0,0,0,1,0
0,0,1,4.75,0,4.74,1,1,0,89,3.02,1125,30,1,17,1,0,0,38,5339138,1,0,0,0,0,0,0,0,1,0,1
1,0,0,4.95,0,4.97,1,2,0,91,3.02,29,2,1,6,4,0,0,130,5397498,0,0,0,0,0,0,0,0,1,0,1
1,0,1,4.65,0,4.95,2,4,0,97,1.04,1125,1,2,16,6,0,0,141,5450001,1,0,0,0,1,0,0,0,0,1,0
0,1,1,4.95,0,4.95,1,1,0,100,4.24,1125,2,1,6,4,0,0,103,5480793,1,1,0,0,0,0,0,0,0,1,0
1,1,1,4.86,0,4.91,4,5,0,100,0.23,1125,3,2.5,6,6,0,0,200,5497835,0,0,0,0,1,0,0,0,0,1,0
0,0,1,5,0,5,2,2,0,99,0.05,1125,90,2,21,4,0,0,90,5523154,0,0,0,0,0,1,0,0,0,1,0
0,0,1,4.92,0,4.73,2,3,0,96,4.62,1124,2,1,6,3,0,0,184,5532667,1,0,0,1,0,0,0,0,0,1,0
0,1,1,4.72,0,4.85,2,2,1,100,1.72,1125,1,2,19,4,0,0,247,5557887,1,1,0,0,0,0,0,0,0,1,0
0,0,1,4.8,0,4.85,4,9,0,97,0.46,30,3,2,24,12,0,0,342,5560170,0,0,0,0,1,0,0,0,0,1,0
1,0,1,4.61,0,4.9,4,10,0,99,0.65,1125,2,3,5,12,0,0,644,5582584,1,0,0,0,1,0,0,0,0,1,0
0,1,0,4.92,0,4.72,3,5,0,99,2.39,1124,2,1,6,6,0,1,204,5590547,0,0,0,0,1,0,0,0,0,1,0
0,1,0,4.86,0,4.9,3,3,0,99,4.05,1125,1,1,19,6,0,0,221,5591141,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.86,0,4.86,3,4,0,99,0.21,1125,4,2.5,6,8,0,1,415,5605938,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,1,0,99,2.359074492,1125,1,1,17,2,0,0,130,5612705,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.83,0,4.58,1,1,0,98,0.12,365,31,1,12,1,0,1,35,5622887,0,0,0,0,0,0,0,0,1,0,1
0,1,1,5,0,5,1,1,0,98,0.2,1125,30,1,12,1,0,0,40,5623567,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.83,0,4.93,4,4,0,100,1,1125,2,3,6,12,0,0,415,5685029,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.96,0,4.95,1,1,0,0,1.69,1500,30,1,17,2,0,0,70,5726670,1,0,0,0,0,1,0,0,0,1,0
1,1,1,4.7,0,4.88,4,7,0,100,0.66,1125,2,2.5,19,12,0,2,731,5759335,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.98,0,4.98,1,1,0,100,0.53,1125,1,1.5,6,4,0,0,160,5761405,0,0,0,0,0,0,0,0,1,0,1
0,0,1,4.95,0,4.94,1,1,0,100,0.75,1125,1,1.5,6,2,0,0,120,5761584,0,0,0,0,0,0,0,0,1,0,1
1,0,1,4.91,0,4.96,3,5,0,100,2.81,1125,1,3,6,10,0,0,330,5761616,0,0,0,0,1,0,0,0,0,1,0
1,0,1,4.66,0,4.94,8,10,0,99,0.99,1125,2,6,5,16,0,0,644,5767371,1,0,0,0,1,0,0,0,0,1,0
1,0,1,4.75,0,4.9,2,2,0,100,3.61,1125,2,1,5,5,0,0,136,5773891,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.86,0,4.97,3,5,0,97,1.44,29,2,2,15,8,0,0,274,5794839,1,0,0,0,1,0,0,0,0,1,0
1,1,1,4.88,0,4.88,3,4,0,100,2.71,1125,2,1,5,6,0,1,227,5795538,1,0,0,0,1,0,0,0,0,1,0
0,0,1,4.94,0,4.94,4,5,0,99,0.17,8,3,3.5,6,8,0,0,335,5796020,0,0,0,0,1,0,0,0,0,1,0
0,1,1,4.95,0,4.97,1,2,1,100,4.14,1125,1,1,25,4,0,0,116,5808960,1,0,1,0,0,0,0,0,0,1,0
0,0,0,4.76,0,4.5,1,2,0,100,7.61,21,1,1,19,4,0,0,84,5834344,0,0,0,0,0,1,0,0,0,1,0
